R,G,B,NAME,DESCRIPTION
46-50,48-50,47-50,南仙台駅,JR東北本線
155-160,165-175,165-175,道路,広い
220-230,220-230,205-215,住宅など,田畑含む
0,0,0,その他,特になし



